2022-03-03 01:13:15,960 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in/part1, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:13:21,043 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.split, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:13:22,209 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in/part2, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:13:26,250 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/_temporary/1/_temporary/attempt_1646269866238_0001_r_000000_0/part-r-00000, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:26,689 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/reduce-out, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:27,784 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/reduce-out, dataSize=118, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:27,848 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/_temporary/1/_temporary/attempt_1646269866238_0001_r_000000_0/part-r-00000, dataSize=97, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:27,920 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=RENAME_KEY {volume=volume1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=/user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/_temporary/1/_temporary/attempt_1646269866238_0001_r_000000_0/part-r-00000, dstKey=/user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/part-r-00000} | ret=SUCCESS |  
2022-03-03 01:13:27,970 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/COMMIT_STARTED, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:27,977 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/COMMIT_STARTED, dataSize=0, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,013 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=DELETE_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/_temporary, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:13:28,032 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/_SUCCESS, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,038 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/_SUCCESS, dataSize=0, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,049 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/COMMIT_SUCCESS, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,056 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/COMMIT_SUCCESS, dataSize=0, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,169 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=user, bucket=hadoop, key=.staging/job_1646269866238_0001/job_1646269866238_0001_1.jhist, dataSize=29595, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,182 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=user, bucket=history, key=done_intermediate/hadoop/job_1646269866238_0001.summary_tmp, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,294 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=user, bucket=history, key=done_intermediate/hadoop/job_1646269866238_0001.summary_tmp, dataSize=448, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,346 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=user, bucket=hadoop, key=.staging/job_1646269866238_0001/job_1646269866238_0001_1.jhist, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:13:28,361 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=user, bucket=history, key=done_intermediate/hadoop/job_1646269866238_0001-1646269974257-hadoop-QuasiMonteCarlo-1646270008057-3-1-SUCCEEDED-default-1646269983320.jhist_tmp, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,482 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=user, bucket=history, key=done_intermediate/hadoop/job_1646269866238_0001-1646269974257-hadoop-QuasiMonteCarlo-1646270008057-3-1-SUCCEEDED-default-1646269983320.jhist_tmp, dataSize=29595, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,528 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=user, bucket=hadoop, key=.staging/job_1646269866238_0001/job_1646269866238_0001_1_conf.xml, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:13:28,543 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=user, bucket=history, key=done_intermediate/hadoop/job_1646269866238_0001_conf.xml_tmp, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,712 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=user, bucket=history, key=done_intermediate/hadoop/job_1646269866238_0001_conf.xml_tmp, dataSize=232963, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:28,727 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=RENAME_KEY {volume=user, bucket=history, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=done_intermediate/hadoop/job_1646269866238_0001.summary_tmp, dstKey=done_intermediate/hadoop/job_1646269866238_0001.summary} | ret=SUCCESS |  
2022-03-03 01:13:28,737 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=RENAME_KEY {volume=user, bucket=history, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=done_intermediate/hadoop/job_1646269866238_0001_conf.xml_tmp, dstKey=done_intermediate/hadoop/job_1646269866238_0001_conf.xml} | ret=SUCCESS |  
