2022-03-22 01:50:13,029 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
2022-03-22 01:50:14,655 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d88f8fad-67f0-4468-b8f1-c353528e01da, command=[]} | ret=SUCCESS |  
2022-03-22 01:50:14,683 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=e3a22762-0235-4f16-a697-8f9e5fbc4748, command=[]} | ret=SUCCESS |  
2022-03-22 01:50:14,724 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=e3a22762-0235-4f16-a697-8f9e5fbc4748, command=[]} | ret=SUCCESS |  
2022-03-22 01:50:14,765 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=22e4acb3-d656-460f-90fa-d9d9b43c68bd, command=[]} | ret=SUCCESS |  
2022-03-22 01:50:14,784 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=22e4acb3-d656-460f-90fa-d9d9b43c68bd, command=[]} | ret=SUCCESS |  
2022-03-22 01:50:27,418 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
2022-03-22 01:50:29,245 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=e3a22762-0235-4f16-a697-8f9e5fbc4748, command=[]} | ret=SUCCESS |  
2022-03-22 01:50:29,294 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=22e4acb3-d656-460f-90fa-d9d9b43c68bd, command=[]} | ret=SUCCESS |  
2022-03-22 01:50:29,311 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d88f8fad-67f0-4468-b8f1-c353528e01da, command=[]} | ret=SUCCESS |  
2022-03-22 01:50:59,229 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=e3a22762-0235-4f16-a697-8f9e5fbc4748, command=[]} | ret=SUCCESS |  
