2022-04-18 13:04:42,839 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b14420dc-5d37-4ad5-8a9a-c6afbaed64b7, command=[]} | ret=SUCCESS |  
2022-04-18 13:04:51,884 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om2, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 13:05:12,767 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=989957b7-a53a-4538-b598-d55b50d71eab, command=[]} | ret=SUCCESS |  
2022-04-18 13:05:12,786 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=931268cc-f99b-4ecd-8723-23235e7aa0a3, command=[]} | ret=SUCCESS |  
2022-04-18 13:05:12,826 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b14420dc-5d37-4ad5-8a9a-c6afbaed64b7, command=[]} | ret=SUCCESS |  
2022-04-18 13:05:42,744 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=989957b7-a53a-4538-b598-d55b50d71eab, command=[]} | ret=SUCCESS |  
2022-04-18 13:05:42,754 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=931268cc-f99b-4ecd-8723-23235e7aa0a3, command=[]} | ret=SUCCESS |  
2022-04-18 13:05:42,833 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b14420dc-5d37-4ad5-8a9a-c6afbaed64b7, command=[]} | ret=SUCCESS |  
2022-04-18 13:05:45,704 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om2, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 13:05:48,150 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om2, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 13:05:51,270 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om2, size=268435456, num=1} | ret=SUCCESS |  
