2022-04-05 04:10:28,778 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-05 04:10:30,227 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90e9b9fa-9af9-45db-a067-c59f370acecd, command=[]} | ret=SUCCESS |  
2022-04-05 04:10:30,248 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2d7e8ff5-9c18-4d6b-b7fe-ccdaa2b92973, command=[]} | ret=SUCCESS |  
2022-04-05 04:10:30,267 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2aeafb99-a0f8-4227-ac48-4ca25c69b35e, command=[]} | ret=SUCCESS |  
2022-04-05 04:10:58,038 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-05 04:11:00,196 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2d7e8ff5-9c18-4d6b-b7fe-ccdaa2b92973, command=[]} | ret=SUCCESS |  
2022-04-05 04:11:00,215 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2aeafb99-a0f8-4227-ac48-4ca25c69b35e, command=[]} | ret=SUCCESS |  
2022-04-05 04:11:00,224 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90e9b9fa-9af9-45db-a067-c59f370acecd, command=[]} | ret=SUCCESS |  
2022-04-05 04:11:04,589 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-05 04:11:30,206 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2d7e8ff5-9c18-4d6b-b7fe-ccdaa2b92973, command=[]} | ret=SUCCESS |  
2022-04-05 04:11:30,233 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90e9b9fa-9af9-45db-a067-c59f370acecd, command=[]} | ret=SUCCESS |  
2022-04-05 04:11:30,233 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2aeafb99-a0f8-4227-ac48-4ca25c69b35e, command=[]} | ret=SUCCESS |  
