2022-03-08 16:57:49,234 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-08 16:57:51,059 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:51,074 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:51,159 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:58,226 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-08 16:58:07,261 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-08 16:58:08,542 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
2022-03-08 16:58:08,554 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
2022-03-08 16:58:08,581 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:58:08,589 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
2022-03-08 16:58:36,348 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-08 16:58:38,541 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
2022-03-08 16:58:38,549 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:58:38,564 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
2022-03-08 16:58:43,385 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-08 16:59:08,531 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:59:08,544 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
2022-03-08 16:59:08,564 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
2022-03-08 16:59:38,533 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:59:38,548 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
2022-03-08 16:59:38,570 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
