2022-06-02 01:08:12,401 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=21c2334e-363d-4187-87b6-2c11f607abb9, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4e5d24a2-3682-4fd0-a28d-a283885bdc4a" uuid128 { mostSigBits: 5646709786910281680 leastSigBits: -6733547182036886454 } } type: RATIS factor: ONE datanode { uuid: "21c2334e-363d-4187-87b6-2c11f607abb9" ipAddress: "172.18.0.6" hostName: "ozonesecure_datanode_1.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "21c2334e-363d-4187-87b6-2c11f607abb9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2432563159743938951 leastSigBits: -8667691977174176839 } } cmdId: 1654132090093 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "daeff987-0996-4a65-9929-d650647c5bbb" uuid128 { mostSigBits: -2670641695630669211 leastSigBits: -7410156071089841221 } } type: RATIS factor: THREE datanode { uuid: "6a653a81-53c0-4116-b7ed-58cf9322e2dc" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6a653a81-53c0-4116-b7ed-58cf9322e2dc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7666598267798438166 leastSigBits: -5193397146738302244 } } datanode { uuid: "127ea638-52ed-43de-9215-463dbbb246af" ipAddress: "172.18.0.4" hostName: "ozonesecure_datanode_2.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "127ea638-52ed-43de-9215-463dbbb246af" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1332685300587906014 leastSigBits: -7920347138705176913 } } datanode { uuid: "21c2334e-363d-4187-87b6-2c11f607abb9" ipAddress: "172.18.0.6" hostName: "ozonesecure_datanode_1.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "21c2334e-363d-4187-87b6-2c11f607abb9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2432563159743938951 leastSigBits: -8667691977174176839 } } cmdId: 1654132090094 priority: 0 priority: 1 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-06-02 01:08:13,515 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=127ea638-52ed-43de-9215-463dbbb246af, command=[]} | ret=SUCCESS |  
2022-06-02 01:08:13,851 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=6a653a81-53c0-4116-b7ed-58cf9322e2dc, command=[]} | ret=SUCCESS |  
2022-06-02 01:08:14,668 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=21c2334e-363d-4187-87b6-2c11f607abb9, command=[]} | ret=SUCCESS |  
2022-06-02 01:08:14,707 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-06-02 01:08:14,831 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=127ea638-52ed-43de-9215-463dbbb246af, command=[]} | ret=SUCCESS |  
2022-06-02 01:08:15,005 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=6a653a81-53c0-4116-b7ed-58cf9322e2dc, command=[]} | ret=SUCCESS |  
2022-06-02 01:08:15,834 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=21c2334e-363d-4187-87b6-2c11f607abb9, command=[]} | ret=SUCCESS |  
2022-06-02 01:08:18,740 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=127ea638-52ed-43de-9215-463dbbb246af, command=[]} | ret=SUCCESS |  
2022-06-02 01:08:19,086 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=6a653a81-53c0-4116-b7ed-58cf9322e2dc, command=[]} | ret=SUCCESS |  
