2022-08-22 17:16:47,126 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg4]} | ret=SUCCESS |  
2022-08-22 17:16:47,155 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg9]} | ret=SUCCESS |  
2022-08-22 17:16:47,157 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg7]} | ret=SUCCESS |  
2022-08-22 17:16:47,194 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg3]} | ret=SUCCESS |  
2022-08-22 17:16:47,234 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg2]} | ret=SUCCESS |  
2022-08-22 17:16:47,265 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg11]} | ret=SUCCESS |  
2022-08-22 17:16:47,270 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg6]} | ret=SUCCESS |  
2022-08-22 17:16:47,277 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg14]} | ret=SUCCESS |  
2022-08-22 17:16:47,300 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg15]} | ret=SUCCESS |  
2022-08-22 17:16:47,343 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg12]} | ret=SUCCESS |  
2022-08-22 17:16:47,349 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg13]} | ret=SUCCESS |  
2022-08-22 17:16:47,397 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg18]} | ret=SUCCESS |  
2022-08-22 17:16:47,404 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg10]} | ret=SUCCESS |  
2022-08-22 17:16:47,434 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg22]} | ret=SUCCESS |  
2022-08-22 17:16:47,424 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg24]} | ret=SUCCESS |  
2022-08-22 17:16:47,439 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg23]} | ret=SUCCESS |  
2022-08-22 17:16:47,466 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg19]} | ret=SUCCESS |  
2022-08-22 17:16:47,494 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg20]} | ret=SUCCESS |  
2022-08-22 17:16:47,515 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg17]} | ret=SUCCESS |  
2022-08-22 17:16:47,556 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg26]} | ret=SUCCESS |  
2022-08-22 17:16:47,583 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg21]} | ret=SUCCESS |  
2022-08-22 17:16:47,586 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg16]} | ret=SUCCESS |  
2022-08-22 17:16:47,612 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg25]} | ret=SUCCESS |  
2022-08-22 17:16:47,613 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg28]} | ret=SUCCESS |  
2022-08-22 17:16:47,665 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg27]} | ret=SUCCESS |  
