2022-03-23 15:05:36,143 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=ALLOCATE_BLOCK {owner=86a8d0f9-ad54-425b-903e-29ea447ad3ef, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-23 15:05:50,485 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e9210d77-4abe-4516-ad01-577156b3a497, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:50,538 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=SEND_HEARTBEAT {datanodeUUID=71851258-2904-4d84-bb82-7c6dbd26572d, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:50,661 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=SEND_HEARTBEAT {datanodeUUID=4c77bc2d-8e3c-443c-8d7a-2f509ee658cf, command=[]} | ret=SUCCESS |  
2022-03-23 15:06:04,408 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=ALLOCATE_BLOCK {owner=86a8d0f9-ad54-425b-903e-29ea447ad3ef, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-23 15:06:10,774 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=ALLOCATE_BLOCK {owner=86a8d0f9-ad54-425b-903e-29ea447ad3ef, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-23 15:06:20,477 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e9210d77-4abe-4516-ad01-577156b3a497, command=[]} | ret=SUCCESS |  
2022-03-23 15:06:20,541 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=SEND_HEARTBEAT {datanodeUUID=71851258-2904-4d84-bb82-7c6dbd26572d, command=[]} | ret=SUCCESS |  
2022-03-23 15:06:20,676 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=SEND_HEARTBEAT {datanodeUUID=4c77bc2d-8e3c-443c-8d7a-2f509ee658cf, command=[]} | ret=SUCCESS |  
2022-03-23 15:06:50,482 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e9210d77-4abe-4516-ad01-577156b3a497, command=[]} | ret=SUCCESS |  
2022-03-23 15:06:50,534 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=SEND_HEARTBEAT {datanodeUUID=71851258-2904-4d84-bb82-7c6dbd26572d, command=[]} | ret=SUCCESS |  
2022-03-23 15:06:50,664 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=SEND_HEARTBEAT {datanodeUUID=4c77bc2d-8e3c-443c-8d7a-2f509ee658cf, command=[]} | ret=SUCCESS |  
