2022-03-19 01:05:53,983 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ADD_ACL {resourceType=bucket, storageType=ozone, volume=80470-target, bucket=link1, key=null, acl=[user:user1:rwxy[ACCESS]]} | ret=SUCCESS |  
2022-03-19 01:05:55,862 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=GET_ACL {resourceType=bucket, storageType=ozone, volume=80470-target, bucket=link1, key=null} | ret=SUCCESS |  
2022-03-19 01:05:58,095 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=GET_ACL {resourceType=bucket, storageType=ozone, volume=80470-source, bucket=bucket1, key=null} | ret=SUCCESS |  
2022-03-19 01:06:00,368 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ADD_ACL {resourceType=bucket, storageType=ozone, volume=80470-source, bucket=bucket1, key=null, acl=[group:group2:r[ACCESS]]} | ret=SUCCESS |  
2022-03-19 01:06:02,347 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=GET_ACL {resourceType=bucket, storageType=ozone, volume=80470-target, bucket=link1, key=null} | ret=SUCCESS |  
2022-03-19 01:06:04,563 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=GET_ACL {resourceType=bucket, storageType=ozone, volume=80470-source, bucket=bucket1, key=null} | ret=SUCCESS |  
2022-03-19 01:06:06,891 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_BUCKET {volume=80470-target, bucket=link2, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647651966881, bucketEncryptionKey=null, modificationTime=1647651966881, sourceVolume=80470-source, sourceBucket=bucket2, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-19 01:06:08,874 | ERROR | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_BUCKET {volume=80470-target, bucket=link2, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647651968864, bucketEncryptionKey=null, modificationTime=1647651968864, usedBytes=0, usedNamespace=0} | ret=FAILURE | BUCKET_ALREADY_EXISTS org.apache.hadoop.ozone.om.exceptions.OMException: Bucket already exist
	at org.apache.hadoop.ozone.om.request.bucket.OMBucketCreateRequest.validateAndUpdateCache(OMBucketCreateRequest.java:195)
	at org.apache.hadoop.ozone.protocolPB.OzoneManagerRequestHandler.handleWriteRequest(OzoneManagerRequestHandler.java:244) 
2022-03-19 01:06:10,800 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_BUCKET {volume=80470-target, bucket=bucket3, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647651970789, bucketEncryptionKey=null, modificationTime=1647651970789, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-19 01:06:12,962 | ERROR | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_BUCKET {volume=80470-target, bucket=bucket3, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647651972952, bucketEncryptionKey=null, modificationTime=1647651972952, sourceVolume=80470-source, sourceBucket=bucket1, usedBytes=0, usedNamespace=0} | ret=FAILURE | BUCKET_ALREADY_EXISTS org.apache.hadoop.ozone.om.exceptions.OMException: Bucket already exist
	at org.apache.hadoop.ozone.om.request.bucket.OMBucketCreateRequest.validateAndUpdateCache(OMBucketCreateRequest.java:195)
	at org.apache.hadoop.ozone.protocolPB.OzoneManagerRequestHandler.handleWriteRequest(OzoneManagerRequestHandler.java:244) 
2022-03-19 01:06:15,066 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_BUCKET {volume=80470-target, bucket=loop2, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647651975052, bucketEncryptionKey=null, modificationTime=1647651975052, sourceVolume=80470-target, sourceBucket=loop1, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-19 01:06:17,028 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_BUCKET {volume=80470-target, bucket=loop3, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647651977019, bucketEncryptionKey=null, modificationTime=1647651977019, sourceVolume=80470-target, sourceBucket=loop2, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-19 01:06:19,087 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_BUCKET {volume=80470-target, bucket=loop1, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647651979078, bucketEncryptionKey=null, modificationTime=1647651979078, sourceVolume=80470-target, sourceBucket=loop3, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-19 01:06:23,207 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_BUCKET {volume=80470-target, bucket=link3, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647651983197, bucketEncryptionKey=null, modificationTime=1647651983197, sourceVolume=80470-source, sourceBucket=bucket1, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-19 01:06:25,237 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=80470-target, bucket=link3, key=key3, dataSize=372, replicationType=RATIS, replicationFactor=THREE, sourceVolume=80470-source, sourceBucket=bucket1} | ret=SUCCESS |  
2022-03-19 01:06:26,669 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=COMMIT_KEY {volume=80470-source, bucket=bucket1, key=key3, dataSize=372, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-19 01:06:32,605 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=DELETE_BUCKET {volume=80470-target, bucket=link1} | ret=SUCCESS |  
2022-03-19 01:07:04,591 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-ozone-test-1246802792, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647652024582, bucketEncryptionKey=null, modificationTime=1647652024582, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-19 01:07:07,565 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-ozone-test-5516194622, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647652027556, bucketEncryptionKey=null, modificationTime=1647652027556, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
