2022-03-19 01:02:43,976 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:44,911 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:49,084 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:13,573 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:14,922 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:19,043 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:43,576 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:44,169 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:44,195 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:44,382 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:52,258 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:52,333 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:52,352 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:04,628 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:04,676 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:04,690 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:04,704 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:34,608 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:34,611 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:34,650 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:04,610 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:04,619 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:04,646 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:34,602 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:34,616 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:34,632 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:04,598 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:04,634 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:04,642 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:34,622 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:34,632 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:34,656 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:04,619 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:04,636 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:04,658 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:34,612 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:34,631 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:34,654 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:04,614 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:04,629 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:04,788 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:34,606 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:34,636 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:34,663 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:04,625 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:04,664 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:04,698 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:34,601 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:34,659 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:34,673 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
