2022-10-08 01:12:53,462 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=DELETE_BUCKET {bucket=[nosuchbucket-ozone-test-7940834226]} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not exists
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:698)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.deleteBucket(OzoneManagerProtocolClientSideTranslatorPB.java:911) 
2022-10-08 01:12:56,546 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-7002106353]} | ret=SUCCESS |  
2022-10-08 01:12:57,243 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=HEAD_BUCKET {bucket=[bucket-ozone-test-7002106353]} | ret=SUCCESS |  
2022-10-08 01:12:57,965 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=HEAD_BUCKET {bucket=[ozonenosuchbucketqqweqwe-ozone-test-6538967184]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:139)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.getBucket(EndpointBase.java:116) 
2022-10-08 01:13:00,888 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-4882620765]} | ret=SUCCESS |  
2022-10-08 01:13:01,573 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2022-10-08 01:13:02,761 | ERROR | S3GAudit | user=null | ip=172.18.0.11 | op=AUTH(GET /) {} | ret=FAILURE | org.apache.hadoop.ozone.s3.signature.MalformedResourceException: AWS access id shouldn't be empty. credential: /20221008/us-west-1/s3/aws4_request
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseCredentials(AuthorizationV4HeaderParser.java:170)
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseSignature(AuthorizationV4HeaderParser.java:90) 
