2022-05-26 01:39:53,602 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=b5e1483c-ebb9-498e-a44e-4515565c9d24, command=[commandType: deleteBlocksCommand deleteBlocksCommandProto { deletedBlocksTransactions { txID: 1 containerID: 1 localID: 109611004723200104 count: 0 } deletedBlocksTransactions { txID: 2 containerID: 1 localID: 109611004723200107 count: 0 } deletedBlocksTransactions { txID: 5 containerID: 1 localID: 109611004723200110 count: 0 } deletedBlocksTransactions { txID: 8 containerID: 1 localID: 109611004723200115 count: 0 } deletedBlocksTransactions { txID: 11 containerID: 1 localID: 109611004723200118 localID: 109611004723200119 localID: 109611004723200120 count: 0 } deletedBlocksTransactions { txID: 12 containerID: 1 localID: 109611004723200121 count: 0 } deletedBlocksTransactions { txID: 18 containerID: 1 localID: 109611004723200200 count: 0 } deletedBlocksTransactions { txID: 27 containerID: 1 localID: 109611004723200213 localID: 109611004723200214 count: 0 } deletedBlocksTransactions { txID: 28 containerID: 1 localID: 109611004723200291 localID: 109611004723200292 localID: 109611004723200293 localID: 109611004723200294 localID: 109611004723200295 localID: 109611004723200268 localID: 109611004723200269 localID: 109611004723200270 localID: 109611004723200271 localID: 109611004723200272 localID: 109611004723200297 localID: 109611004723200298 localID: 109611004723200299 localID: 109611004723200300 localID: 109611004723200301 localID: 109611004723200302 count: 0 } deletedBlocksTransactions { txID: 29 containerID: 1 localID: 109611004723200304 localID: 109611004723200307 localID: 109611004723200310 localID: 109611004723200313 localID: 109611004723200316 localID: 109611004723200319 localID: 109611004723200322 localID: 109611004723200324 localID: 109611004723200303 localID: 109611004723200306 localID: 109611004723200309 localID: 109611004723200311 localID: 109611004723200314 localID: 109611004723200317 localID: 109611004723200320 localID: 109611004723200323 localID: 109611004723200305 localID: 109611004723200308 localID: 109611004723200312 localID: 109611004723200315 localID: 109611004723200318 localID: 109611004723200321 localID: 109611004723200390 localID: 109611004723200391 localID: 109611004723200366 localID: 109611004723200367 localID: 109611004723200368 localID: 109611004723200369 localID: 109611004723200370 localID: 109611004723200371 localID: 109611004723200372 localID: 109611004723200373 localID: 109611004723200374 localID: 109611004723200375 localID: 109611004723200388 count: 0 } deletedBlocksTransactions { txID: 30 containerID: 1 localID: 109611004723200392 localID: 109611004723200393 localID: 109611004723200394 localID: 109611004723200401 localID: 109611004723200402 count: 0 } deletedBlocksTransactions { txID: 31 containerID: 1 localID: 109611004723200494 localID: 109611004723200496 localID: 109611004723200499 localID: 109611004723200502 localID: 109611004723200505 localID: 109611004723200508 localID: 109611004723200511 localID: 109611004723200512 localID: 109611004723200491 localID: 109611004723200492 localID: 109611004723200495 localID: 109611004723200498 localID: 109611004723200501 localID: 109611004723200503 localID: 109611004723200507 localID: 109611004723200510 localID: 109611004723200493 localID: 109611004723200497 localID: 109611004723200500 localID: 109611004723200504 localID: 109611004723200506 localID: 109611004723200509 localID: 109611004723200479 localID: 109611004723200480 localID: 109611004723200481 localID: 109611004723200482 localID: 109611004723200483 localID: 109611004723200485 localID: 109611004723200486 localID: 109611004723200487 localID: 109611004723200488 localID: 109611004723200489 localID: 109611004723200490 localID: 109611004723200456 localID: 109611004723200457 localID: 109611004723200458 localID: 109611004723200459 localID: 109611004723200460 count: 0 } deletedBlocksTransactions { txID: 32 containerID: 1 localID: 109611004723200554 localID: 109611004723200555 localID: 109611004723200556 localID: 109611004723200557 localID: 109611004723200558 localID: 109611004723200559 localID: 109611004723200560 localID: 109611004723200561 localID: 109611004723200562 localID: 109611004723200563 localID: 109611004723200581 localID: 109611004723200582 localID: 109611004723200578 localID: 109611004723200579 localID: 109611004723200580 localID: 109611004723200576 count: 0 } deletedBlocksTransactions { txID: 33 containerID: 1 localID: 109611004723200598 count: 0 } cmdId: 1653527153306 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-05-26 01:39:53,612 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e46a1bbe-e562-4784-9a6f-2deccc427e1c, command=[commandType: deleteBlocksCommand deleteBlocksCommandProto { deletedBlocksTransactions { txID: 1 containerID: 1 localID: 109611004723200104 count: 0 } deletedBlocksTransactions { txID: 2 containerID: 1 localID: 109611004723200107 count: 0 } deletedBlocksTransactions { txID: 5 containerID: 1 localID: 109611004723200110 count: 0 } deletedBlocksTransactions { txID: 8 containerID: 1 localID: 109611004723200115 count: 0 } deletedBlocksTransactions { txID: 11 containerID: 1 localID: 109611004723200118 localID: 109611004723200119 localID: 109611004723200120 count: 0 } deletedBlocksTransactions { txID: 12 containerID: 1 localID: 109611004723200121 count: 0 } deletedBlocksTransactions { txID: 18 containerID: 1 localID: 109611004723200200 count: 0 } deletedBlocksTransactions { txID: 27 containerID: 1 localID: 109611004723200213 localID: 109611004723200214 count: 0 } deletedBlocksTransactions { txID: 28 containerID: 1 localID: 109611004723200291 localID: 109611004723200292 localID: 109611004723200293 localID: 109611004723200294 localID: 109611004723200295 localID: 109611004723200268 localID: 109611004723200269 localID: 109611004723200270 localID: 109611004723200271 localID: 109611004723200272 localID: 109611004723200297 localID: 109611004723200298 localID: 109611004723200299 localID: 109611004723200300 localID: 109611004723200301 localID: 109611004723200302 count: 0 } deletedBlocksTransactions { txID: 29 containerID: 1 localID: 109611004723200304 localID: 109611004723200307 localID: 109611004723200310 localID: 109611004723200313 localID: 109611004723200316 localID: 109611004723200319 localID: 109611004723200322 localID: 109611004723200324 localID: 109611004723200303 localID: 109611004723200306 localID: 109611004723200309 localID: 109611004723200311 localID: 109611004723200314 localID: 109611004723200317 localID: 109611004723200320 localID: 109611004723200323 localID: 109611004723200305 localID: 109611004723200308 localID: 109611004723200312 localID: 109611004723200315 localID: 109611004723200318 localID: 109611004723200321 localID: 109611004723200390 localID: 109611004723200391 localID: 109611004723200366 localID: 109611004723200367 localID: 109611004723200368 localID: 109611004723200369 localID: 109611004723200370 localID: 109611004723200371 localID: 109611004723200372 localID: 109611004723200373 localID: 109611004723200374 localID: 109611004723200375 localID: 109611004723200388 count: 0 } deletedBlocksTransactions { txID: 30 containerID: 1 localID: 109611004723200392 localID: 109611004723200393 localID: 109611004723200394 localID: 109611004723200401 localID: 109611004723200402 count: 0 } deletedBlocksTransactions { txID: 31 containerID: 1 localID: 109611004723200494 localID: 109611004723200496 localID: 109611004723200499 localID: 109611004723200502 localID: 109611004723200505 localID: 109611004723200508 localID: 109611004723200511 localID: 109611004723200512 localID: 109611004723200491 localID: 109611004723200492 localID: 109611004723200495 localID: 109611004723200498 localID: 109611004723200501 localID: 109611004723200503 localID: 109611004723200507 localID: 109611004723200510 localID: 109611004723200493 localID: 109611004723200497 localID: 109611004723200500 localID: 109611004723200504 localID: 109611004723200506 localID: 109611004723200509 localID: 109611004723200479 localID: 109611004723200480 localID: 109611004723200481 localID: 109611004723200482 localID: 109611004723200483 localID: 109611004723200485 localID: 109611004723200486 localID: 109611004723200487 localID: 109611004723200488 localID: 109611004723200489 localID: 109611004723200490 localID: 109611004723200456 localID: 109611004723200457 localID: 109611004723200458 localID: 109611004723200459 localID: 109611004723200460 count: 0 } deletedBlocksTransactions { txID: 32 containerID: 1 localID: 109611004723200554 localID: 109611004723200555 localID: 109611004723200556 localID: 109611004723200557 localID: 109611004723200558 localID: 109611004723200559 localID: 109611004723200560 localID: 109611004723200561 localID: 109611004723200562 localID: 109611004723200563 localID: 109611004723200581 localID: 109611004723200582 localID: 109611004723200578 localID: 109611004723200579 localID: 109611004723200580 localID: 109611004723200576 count: 0 } deletedBlocksTransactions { txID: 33 containerID: 1 localID: 109611004723200598 count: 0 } cmdId: 1653527153308 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-05-26 01:39:53,625 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=721d1d78-174e-4dd4-936e-6859c499c84f, command=[commandType: deleteBlocksCommand deleteBlocksCommandProto { deletedBlocksTransactions { txID: 1 containerID: 1 localID: 109611004723200104 count: 0 } deletedBlocksTransactions { txID: 2 containerID: 1 localID: 109611004723200107 count: 0 } deletedBlocksTransactions { txID: 5 containerID: 1 localID: 109611004723200110 count: 0 } deletedBlocksTransactions { txID: 8 containerID: 1 localID: 109611004723200115 count: 0 } deletedBlocksTransactions { txID: 11 containerID: 1 localID: 109611004723200118 localID: 109611004723200119 localID: 109611004723200120 count: 0 } deletedBlocksTransactions { txID: 12 containerID: 1 localID: 109611004723200121 count: 0 } deletedBlocksTransactions { txID: 18 containerID: 1 localID: 109611004723200200 count: 0 } deletedBlocksTransactions { txID: 27 containerID: 1 localID: 109611004723200213 localID: 109611004723200214 count: 0 } deletedBlocksTransactions { txID: 28 containerID: 1 localID: 109611004723200291 localID: 109611004723200292 localID: 109611004723200293 localID: 109611004723200294 localID: 109611004723200295 localID: 109611004723200268 localID: 109611004723200269 localID: 109611004723200270 localID: 109611004723200271 localID: 109611004723200272 localID: 109611004723200297 localID: 109611004723200298 localID: 109611004723200299 localID: 109611004723200300 localID: 109611004723200301 localID: 109611004723200302 count: 0 } deletedBlocksTransactions { txID: 29 containerID: 1 localID: 109611004723200304 localID: 109611004723200307 localID: 109611004723200310 localID: 109611004723200313 localID: 109611004723200316 localID: 109611004723200319 localID: 109611004723200322 localID: 109611004723200324 localID: 109611004723200303 localID: 109611004723200306 localID: 109611004723200309 localID: 109611004723200311 localID: 109611004723200314 localID: 109611004723200317 localID: 109611004723200320 localID: 109611004723200323 localID: 109611004723200305 localID: 109611004723200308 localID: 109611004723200312 localID: 109611004723200315 localID: 109611004723200318 localID: 109611004723200321 localID: 109611004723200390 localID: 109611004723200391 localID: 109611004723200366 localID: 109611004723200367 localID: 109611004723200368 localID: 109611004723200369 localID: 109611004723200370 localID: 109611004723200371 localID: 109611004723200372 localID: 109611004723200373 localID: 109611004723200374 localID: 109611004723200375 localID: 109611004723200388 count: 0 } deletedBlocksTransactions { txID: 30 containerID: 1 localID: 109611004723200392 localID: 109611004723200393 localID: 109611004723200394 localID: 109611004723200401 localID: 109611004723200402 count: 0 } deletedBlocksTransactions { txID: 31 containerID: 1 localID: 109611004723200494 localID: 109611004723200496 localID: 109611004723200499 localID: 109611004723200502 localID: 109611004723200505 localID: 109611004723200508 localID: 109611004723200511 localID: 109611004723200512 localID: 109611004723200491 localID: 109611004723200492 localID: 109611004723200495 localID: 109611004723200498 localID: 109611004723200501 localID: 109611004723200503 localID: 109611004723200507 localID: 109611004723200510 localID: 109611004723200493 localID: 109611004723200497 localID: 109611004723200500 localID: 109611004723200504 localID: 109611004723200506 localID: 109611004723200509 localID: 109611004723200479 localID: 109611004723200480 localID: 109611004723200481 localID: 109611004723200482 localID: 109611004723200483 localID: 109611004723200485 localID: 109611004723200486 localID: 109611004723200487 localID: 109611004723200488 localID: 109611004723200489 localID: 109611004723200490 localID: 109611004723200456 localID: 109611004723200457 localID: 109611004723200458 localID: 109611004723200459 localID: 109611004723200460 count: 0 } deletedBlocksTransactions { txID: 32 containerID: 1 localID: 109611004723200554 localID: 109611004723200555 localID: 109611004723200556 localID: 109611004723200557 localID: 109611004723200558 localID: 109611004723200559 localID: 109611004723200560 localID: 109611004723200561 localID: 109611004723200562 localID: 109611004723200563 localID: 109611004723200581 localID: 109611004723200582 localID: 109611004723200578 localID: 109611004723200579 localID: 109611004723200580 localID: 109611004723200576 count: 0 } deletedBlocksTransactions { txID: 33 containerID: 1 localID: 109611004723200598 count: 0 } cmdId: 1653527153307 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-05-26 01:39:55,307 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-05-26 01:39:57,575 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=d7686c69-635e-457e-8e8f-07644a51ff20, command=[]} | ret=SUCCESS |  
2022-05-26 01:39:58,028 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2be2bee5-ecd9-4fa1-a110-ba145793cf0e, command=[]} | ret=SUCCESS |  
2022-05-26 01:39:58,607 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e46a1bbe-e562-4784-9a6f-2deccc427e1c, command=[]} | ret=SUCCESS |  
2022-05-26 01:39:58,608 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=b5e1483c-ebb9-498e-a44e-4515565c9d24, command=[]} | ret=SUCCESS |  
2022-05-26 01:39:58,608 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=721d1d78-174e-4dd4-936e-6859c499c84f, command=[]} | ret=SUCCESS |  
2022-05-26 01:39:59,218 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
