2022-11-19 13:02:38,331 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=fee133d9-7964-4fdb-8bd9-f4b43d7e4040, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:38,718 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b31caee3-f069-403d-aa23-01686332e24e" uuid128 { mostSigBits: -5540361147558313923 leastSigBits: -6187099915224423858 } } type: RATIS factor: THREE datanode { uuid: "aa9ed9a3-b2fb-44e3-b123-38c6e98785d8" ipAddress: "172.18.0.10" hostName: "ozonesecure_datanode_4.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aa9ed9a3-b2fb-44e3-b123-38c6e98785d8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6152240743835810589 leastSigBits: -5682635877838780968 } } datanode { uuid: "e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1593416513817589144 leastSigBits: -5053659221985020435 } } datanode { uuid: "3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7" ipAddress: "172.18.0.9" hostName: "ozonesecure_datanode_5.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3698830598769101947 leastSigBits: -6846933118874710569 } } cmdId: 1668862927946 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "388aad26-359d-4814-9b37-32f05b594db1" uuid128 { mostSigBits: 4074259192529897492 leastSigBits: -7262279866205516367 } } type: RATIS factor: ONE datanode { uuid: "3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7" ipAddress: "172.18.0.9" hostName: "ozonesecure_datanode_5.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3698830598769101947 leastSigBits: -6846933118874710569 } } cmdId: 1668862927948 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-11-19 13:02:39,756 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=aa9ed9a3-b2fb-44e3-b123-38c6e98785d8, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:39,933 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:40,096 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=fee133d9-7964-4fdb-8bd9-f4b43d7e4040, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:40,856 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:42,059 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=aa9ed9a3-b2fb-44e3-b123-38c6e98785d8, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:42,148 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:45,409 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=fee133d9-7964-4fdb-8bd9-f4b43d7e4040, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:46,728 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7, command=[]} | ret=SUCCESS |  
