2022-09-14 23:18:24,690 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0d02e6a6-1da9-489a-b312-15ca850b1b78, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "473b2b12-55ee-4427-8137-256f53dd85e5" uuid128 { mostSigBits: 5132743558069896231 leastSigBits: -9135792159019137563 } } type: RATIS factor: THREE datanode { uuid: "0d02e6a6-1da9-489a-b312-15ca850b1b78" ipAddress: "10.9.0.11" hostName: "restart_dn1_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0d02e6a6-1da9-489a-b312-15ca850b1b78" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 937565273583077530 leastSigBits: -5543344231779984520 } } datanode { uuid: "0c434615-8ebd-460d-96b1-5837cfcafcdb" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0c434615-8ebd-460d-96b1-5837cfcafcdb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 883627010297775629 leastSigBits: -7588186900409942821 } } datanode { uuid: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" ipAddress: "10.9.0.13" hostName: "restart_dn3_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4671427059470020992 leastSigBits: -8896134244053604398 } } cmdId: 1663197502409 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "12d90c8b-e1e8-492d-8ce7-17ca45d2241b" uuid128 { mostSigBits: 1358130557558999341 leastSigBits: -8293634031257246693 } } type: RATIS factor: THREE datanode { uuid: "0c434615-8ebd-460d-96b1-5837cfcafcdb" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0c434615-8ebd-460d-96b1-5837cfcafcdb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 883627010297775629 leastSigBits: -7588186900409942821 } } datanode { uuid: "0d02e6a6-1da9-489a-b312-15ca850b1b78" ipAddress: "10.9.0.11" hostName: "restart_dn1_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0d02e6a6-1da9-489a-b312-15ca850b1b78" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 937565273583077530 leastSigBits: -5543344231779984520 } } datanode { uuid: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" ipAddress: "10.9.0.13" hostName: "restart_dn3_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4671427059470020992 leastSigBits: -8896134244053604398 } } cmdId: 1663197502411 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "fd4203d4-1808-4933-9f1f-e648d3178a2d" uuid128 { mostSigBits: -197591224179734221 leastSigBits: -6980607696947410387 } } type: RATIS factor: ONE datanode { uuid: "0d02e6a6-1da9-489a-b312-15ca850b1b78" ipAddress: "10.9.0.11" hostName: "restart_dn1_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0d02e6a6-1da9-489a-b312-15ca850b1b78" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 937565273583077530 leastSigBits: -5543344231779984520 } } cmdId: 1663197502412 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-09-14 23:18:25,678 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=bf2bc1d6-f624-4e80-848a-9509ecff27d2, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:25,827 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0d02e6a6-1da9-489a-b312-15ca850b1b78, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:26,024 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0c434615-8ebd-460d-96b1-5837cfcafcdb, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:26,532 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=bf2bc1d6-f624-4e80-848a-9509ecff27d2, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:27,998 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-09-14 23:18:29,955 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=bf2bc1d6-f624-4e80-848a-9509ecff27d2, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:30,258 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0d02e6a6-1da9-489a-b312-15ca850b1b78, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:30,305 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0c434615-8ebd-460d-96b1-5837cfcafcdb, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:30,397 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0c434615-8ebd-460d-96b1-5837cfcafcdb, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:30,681 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0d02e6a6-1da9-489a-b312-15ca850b1b78, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:31,576 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=bf2bc1d6-f624-4e80-848a-9509ecff27d2, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:34,309 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-09-14 23:18:35,619 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0c434615-8ebd-460d-96b1-5837cfcafcdb, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:35,875 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0d02e6a6-1da9-489a-b312-15ca850b1b78, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:40,370 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0d02e6a6-1da9-489a-b312-15ca850b1b78, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:40,820 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-09-14 23:18:42,041 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0c434615-8ebd-460d-96b1-5837cfcafcdb, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:46,927 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-09-14 23:18:49,169 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0d02e6a6-1da9-489a-b312-15ca850b1b78, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:49,186 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_CONTAINER_WITH_PIPELINE {containerID=#1} | ret=SUCCESS |  
2022-09-14 23:18:49,264 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=bf2bc1d6-f624-4e80-848a-9509ecff27d2, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:49,319 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0c434615-8ebd-460d-96b1-5837cfcafcdb, command=[]} | ret=SUCCESS |  
2022-09-14 23:18:53,772 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-09-14 23:19:07,594 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2022-09-14 23:19:07,694 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2022-09-14 23:19:09,244 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2022-09-14 23:19:19,161 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0d02e6a6-1da9-489a-b312-15ca850b1b78, command=[]} | ret=SUCCESS |  
2022-09-14 23:19:19,218 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=bf2bc1d6-f624-4e80-848a-9509ecff27d2, command=[]} | ret=SUCCESS |  
2022-09-14 23:19:19,267 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-09-14 23:19:19,300 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0c434615-8ebd-460d-96b1-5837cfcafcdb, command=[]} | ret=SUCCESS |  
2022-09-14 23:19:33,418 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=LIST_PIPELINE null | ret=SUCCESS |  
