2022-03-08 14:22:42,310 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:22:52,303 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e065eba6-f5bd-45d7-b073-c3f9f6ba9933, command=[]} | ret=SUCCESS |  
2022-03-08 14:22:52,376 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
2022-03-08 14:22:52,396 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:23:08,041 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
2022-03-08 14:23:08,165 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e065eba6-f5bd-45d7-b073-c3f9f6ba9933, command=[]} | ret=SUCCESS |  
2022-03-08 14:23:08,187 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:23:38,025 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
2022-03-08 14:23:38,036 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:23:38,085 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e065eba6-f5bd-45d7-b073-c3f9f6ba9933, command=[]} | ret=SUCCESS |  
2022-03-08 14:24:08,027 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:24:08,043 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
2022-03-08 14:24:08,088 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e065eba6-f5bd-45d7-b073-c3f9f6ba9933, command=[]} | ret=SUCCESS |  
2022-03-08 14:24:38,010 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
2022-03-08 14:24:38,025 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:24:38,090 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e065eba6-f5bd-45d7-b073-c3f9f6ba9933, command=[]} | ret=SUCCESS |  
2022-03-08 14:25:08,021 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
