2022-03-03 01:26:51,194 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_DIRECTORY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:26:51,258 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.jar, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:51,408 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.jar, dataSize=280989, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:51,562 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.split, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:54,168 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.split, dataSize=460, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:54,191 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.splitmetainfo, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:56,789 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.splitmetainfo, dataSize=310, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:56,814 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.xml, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:57,176 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.xml, dataSize=236197, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:02,070 | INFO  | OMAudit | user=nm/nm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_VOLUME {admin=nm, owner=nm, volume=tmp, creationTime=1646270822066, modificationTime=1646270822066, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854759168, updateID=65} | ret=SUCCESS |  
2022-03-03 01:27:02,124 | INFO  | OMAudit | user=nm/nm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_BUCKET {volume=tmp, bucket=93122a9e4abcba124d5a7d4beaba3f89, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:nm/nm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646270822121, bucketEncryptionKey=null, modificationTime=1646270822121, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-03 01:27:02,165 | INFO  | OMAudit | user=nm/nm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_DIRECTORY {volume=tmp, bucket=93122a9e4abcba124d5a7d4beaba3f89, key=logs, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:27:02,387 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_BUCKET {volume=tmp, bucket=0238775c7bd96e2eab98038afe0c4279, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:flokkr:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646270822383, bucketEncryptionKey=null, modificationTime=1646270822383, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-03 01:27:02,401 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_DIRECTORY {volume=tmp, bucket=0238775c7bd96e2eab98038afe0c4279, key=logs/hadoop, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:27:02,417 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_DIRECTORY {volume=tmp, bucket=0238775c7bd96e2eab98038afe0c4279, key=logs/hadoop/bucket-logs-tfile, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
