2022-04-12 13:52:04,988 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ac6aee4d-78e1-427c-a382-a9987f14788c, command=[]} | ret=SUCCESS |  
2022-04-12 13:52:05,352 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6acd030b-f1c8-42ef-9327-a07c4f087c58, command=[]} | ret=SUCCESS |  
2022-04-12 13:52:12,628 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:52:19,061 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ac6aee4d-78e1-427c-a382-a9987f14788c, command=[]} | ret=SUCCESS |  
2022-04-12 13:52:23,477 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:52:34,776 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0d1bbe44-9232-4e67-ac51-b431e761214f, command=[]} | ret=SUCCESS |  
2022-04-12 13:52:35,311 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6acd030b-f1c8-42ef-9327-a07c4f087c58, command=[]} | ret=SUCCESS |  
2022-04-12 13:52:48,995 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ac6aee4d-78e1-427c-a382-a9987f14788c, command=[]} | ret=SUCCESS |  
2022-04-12 13:52:56,888 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:53:04,471 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:53:04,782 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0d1bbe44-9232-4e67-ac51-b431e761214f, command=[]} | ret=SUCCESS |  
2022-04-12 13:53:05,329 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6acd030b-f1c8-42ef-9327-a07c4f087c58, command=[]} | ret=SUCCESS |  
2022-04-12 13:53:06,048 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ac6aee4d-78e1-427c-a382-a9987f14788c, command=[]} | ret=SUCCESS |  
2022-04-12 13:53:06,183 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0d1bbe44-9232-4e67-ac51-b431e761214f, command=[]} | ret=SUCCESS |  
2022-04-12 13:53:06,216 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6acd030b-f1c8-42ef-9327-a07c4f087c58, command=[]} | ret=SUCCESS |  
2022-04-12 13:53:36,037 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ac6aee4d-78e1-427c-a382-a9987f14788c, command=[]} | ret=SUCCESS |  
2022-04-12 13:53:36,166 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0d1bbe44-9232-4e67-ac51-b431e761214f, command=[]} | ret=SUCCESS |  
2022-04-12 13:53:36,227 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6acd030b-f1c8-42ef-9327-a07c4f087c58, command=[]} | ret=SUCCESS |  
2022-04-12 13:54:06,048 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ac6aee4d-78e1-427c-a382-a9987f14788c, command=[]} | ret=SUCCESS |  
2022-04-12 13:54:06,171 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0d1bbe44-9232-4e67-ac51-b431e761214f, command=[]} | ret=SUCCESS |  
2022-04-12 13:54:06,229 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6acd030b-f1c8-42ef-9327-a07c4f087c58, command=[]} | ret=SUCCESS |  
