2022-04-12 13:55:24,421 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.3 | op=SEND_HEARTBEAT {datanodeUUID=36d723d0-b505-4ab9-af4a-2f4601509d8f, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:24,422 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5c4ba31c-c9fa-49df-ada5-ffbbee80f86c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:24,552 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:25,758 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:25,771 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:31,981 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.4 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:55:34,239 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.3 | op=SEND_HEARTBEAT {datanodeUUID=36d723d0-b505-4ab9-af4a-2f4601509d8f, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:34,259 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5c4ba31c-c9fa-49df-ada5-ffbbee80f86c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:34,306 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:42,726 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.4 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:56:04,240 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.3 | op=SEND_HEARTBEAT {datanodeUUID=36d723d0-b505-4ab9-af4a-2f4601509d8f, command=[]} | ret=SUCCESS |  
2022-04-12 13:56:04,271 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5c4ba31c-c9fa-49df-ada5-ffbbee80f86c, command=[]} | ret=SUCCESS |  
2022-04-12 13:56:04,305 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
2022-04-12 13:56:16,932 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.4 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:56:25,574 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.4 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:56:34,252 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.3 | op=SEND_HEARTBEAT {datanodeUUID=36d723d0-b505-4ab9-af4a-2f4601509d8f, command=[]} | ret=SUCCESS |  
2022-04-12 13:56:34,265 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5c4ba31c-c9fa-49df-ada5-ffbbee80f86c, command=[]} | ret=SUCCESS |  
2022-04-12 13:56:34,310 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
2022-04-12 13:57:04,233 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.3 | op=SEND_HEARTBEAT {datanodeUUID=36d723d0-b505-4ab9-af4a-2f4601509d8f, command=[]} | ret=SUCCESS |  
2022-04-12 13:57:04,264 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5c4ba31c-c9fa-49df-ada5-ffbbee80f86c, command=[]} | ret=SUCCESS |  
2022-04-12 13:57:04,313 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
