2022-03-22 16:54:56,855 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:17,626 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
2022-03-22 16:55:18,519 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=DELETE_KEY_BLOCK {KeyBlockToDelete=BlockGroup[groupID='/62521-source/bucket1/key2', blockIDs=[conID: 2 locID: 109611004723200005 bcsId: 0]]} | ret=SUCCESS |  
2022-03-22 16:55:26,798 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:26,829 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:26,831 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:56,762 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:56,822 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:56,839 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:56:12,382 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
2022-03-22 16:56:14,988 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
2022-03-22 16:56:18,135 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
2022-03-22 16:56:23,705 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
