2022-04-18 13:13:23,547 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:23,770 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:23,837 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:24,644 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:25,409 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:28,872 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:40,516 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:40,823 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:45,770 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:45,903 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:49,715 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:59,031 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:14:16,003 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:14:17,407 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:14:17,947 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:14:18,022 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:14:40,419 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:14:40,536 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:14:40,559 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:14:40,607 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:15:10,435 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:15:10,528 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:15:10,562 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:15:40,438 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:15:40,468 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:15:40,488 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:16:10,474 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:16:10,503 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:16:10,522 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:16:40,294 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:16:40,420 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:16:40,464 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:17:10,421 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:17:10,427 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:17:10,473 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:17:40,382 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:17:40,404 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:17:40,428 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:18:10,327 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:18:10,346 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:18:10,360 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:18:40,357 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
