2022-03-17 13:05:59,691 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=396acf04-2671-4540-8e64-abded7a4e304{ip: 172.18.0.9, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-17 13:06:59,512 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:59,609 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:07:07,823 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:07:07,838 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:07:07,919 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:07:20,998 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:07:21,059 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:07:21,095 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:07:50,998 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:07:51,035 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:07:51,057 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:08:21,004 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:08:21,050 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:08:21,062 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:08:50,980 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:08:51,019 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:08:51,040 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:09:20,988 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:09:21,021 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:09:21,042 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:09:50,987 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:09:51,040 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:09:51,058 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:10:20,993 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:10:21,028 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:10:21,056 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:10:50,993 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:10:51,047 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:10:51,053 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:11:20,990 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:11:21,023 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:11:21,051 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:11:50,994 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:11:51,052 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:11:51,056 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:12:20,998 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:12:21,025 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:12:21,046 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:12:50,996 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:12:51,046 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:12:51,050 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:13:20,999 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:13:21,030 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:13:21,049 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
